Z,N,Energy,NShells,b0,bz,bp,lambda_n,lambda_p,Lambda_n,Lambda_p,delta_n,delta_p,pwi,pairingE_n,pairingE_p,LNlambda_n,LNlambda_p,LNEnergy_n,LNEnergy_p,LNdelta_n,LNdelta_p,Geff_n,Geff_p,rms_r_n,rms_r_p,rms_r_t,charge_r_p,charge_r_t,beta2_n,beta2_p,beta2_t,dipole_n,dipole_p,quadpole_n,quadpole_p,octpole_n,octpole_p,hexdpole_n,hexdpole_p,q5_n,q5_p,q6_n,q6_p,q7_n,q7_p,q8_n,q8_p,KineticE_n,KineticE_p,VolumeE,rho_tau,rho_rho,surfaceE,rhoDELrho,NABLArho^2,SpinOrbitE,rhoNABLAJ,NABLArhoJ,CoulombE,CoulombDir,CoulombEx,TensorE,HartreeE,ExtraE,ExternalFE,Entropy_n,Entropy_p
2,2,-18.9076,20.0,1.15673,1.1938,1.13864,-7.64773,-7.08219,-7.64773,-7.08219,1.98778,2.5031,60.0,-2.14846,-3.05175,3.24634,3.2324,-3.56679,-4.12026,5.23412,5.7355,-1.83911,-2.05309,2.04909,2.04282,2.04596,2.20432,1.90488,0.00099,0.00105,0.00102,0.0,0.0,0.00011,0.00011,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,25.4835,26.4955,-67.4005,3.7535,-71.154,9.2326,9.2326,0.0,-0.5929,-0.5929,0.0,0.7598,1.326,-0.5662,0.0018,0.0,0.0,0.0,0.0,0.0
2,4,-22.926,20.0,1.23761,1.23761,1.23761,-1.31947,-16.28223,-1.31947,-16.28223,1.53459,2.58609,60.0,-2.42001,-3.21613,0.84415,3.40205,-1.95463,-4.06258,2.37874,5.98813,-0.97313,-2.07947,2.60657,1.97317,2.41398,2.11263,2.18054,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,51.9962,28.5773,-102.9325,5.7201,-108.6526,12.8076,12.8076,0.0,-2.4122,-2.4122,0.0,0.7861,1.3746,-0.5885,-0.0951,0.0,0.0,0.0,0.0,0.0
2,6,-24.4189,20.0,1.29839,1.29839,1.29839,0.20161,-22.37066,0.20161,-22.37066,1.31784,2.32298,60.0,-2.4908,-2.76278,0.97065,3.33742,-2.28336,-3.71206,2.28849,5.66039,-0.69725,-1.95318,2.94227,1.99776,2.73687,2.10825,2.4,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,73.4086,27.6097,-126.386,6.6113,-132.9973,14.578,14.578,0.0,-2.9499,-2.9499,0.0,0.7759,1.3579,-0.582,-0.2062,0.0,0.0,0.0,0.0,0.0
4,2,-20.8493,20.0,1.23761,1.31818,1.19918,-16.55666,0.10242,-16.55666,0.10242,1.97316,1.89004,60.0,-2.09757,-3.35433,3.42802,0.96621,-3.42733,-2.38935,5.40118,2.85625,-1.85612,-1.06497,1.98513,2.63827,2.44006,2.77568,2.18054,0.00216,0.0218,0.01747,0.0,0.0,0.00021,0.00766,0.0,0.0,-0.0,0.00011,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,27.1434,51.3557,-101.5831,5.5392,-107.1223,12.4967,12.4967,0.0,-2.0933,-2.0933,0.0,3.1723,4.3383,-1.166,-0.0724,0.0,0.0,0.0,0.0,0.0
4,4,-42.6175,20.0,1.29839,1.29839,1.29839,-9.40394,-7.72776,-9.40394,-7.72776,1.87277,2.29737,60.0,-3.0216,-4.08431,0.99644,1.15488,-2.21252,-2.70129,2.86921,3.45225,-1.16073,-1.29224,2.3008,2.30559,2.3032,2.44983,2.4,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,63.9098,63.9897,-175.3158,9.9088,-185.2247,20.0332,20.0332,0.0,-6.2901,-6.2901,0.0,3.5293,4.8352,-1.3059,-0.4539,0.0,0.0,0.0,0.0,0.0
4,6,-58.3756,20.0,1.34759,1.26521,1.39077,-5.43227,-14.73629,-5.43227,-14.73629,1.4828,2.23676,60.0,-2.50097,-3.96647,1.39658,1.11375,-2.5424,-2.55674,2.87938,3.35051,-0.87914,-1.26135,2.52401,2.26131,2.42235,2.39611,2.58532,-0.00255,-0.00085,-0.00195,0.0,0.0,-0.00123,-0.00022,0.0,0.0,-1e-05,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.8396,65.9472,-225.7975,12.0891,-237.8866,24.4131,24.4131,0.0,-7.8804,-7.8804,0.0,3.5589,4.8816,-1.3227,-0.8898,0.0,0.0,0.0,0.0,0.0
4,8,-64.9536,20.0,1.38916,1.38916,1.38916,-1.40349,-19.57489,-1.40349,-19.57489,1.1401,2.12758,60.0,-2.08748,-3.81242,1.43882,1.04252,-2.37824,-2.396,2.57892,3.1701,-0.62267,-1.18733,2.82334,2.29907,2.66009,2.41982,2.74731,-0.0,-0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,114.3006,63.8584,-255.5692,12.9219,-268.4911,25.3769,25.3769,0.0,-5.2385,-5.2385,0.0,3.487,4.7859,-1.2989,-0.4947,0.0,0.0,0.0,0.0,0.0
6,4,-53.7051,20.0,1.34759,1.26521,1.39077,-16.25364,-2.87732,-16.25364,-2.87732,1.8306,1.88065,60.0,-2.97404,-3.67474,0.95466,1.4093,-2.09926,-3.0785,2.78526,3.28995,-1.12678,-0.96248,2.26722,2.56109,2.44778,2.69884,2.58532,-0.00134,-0.00362,-0.00284,0.0,0.0,-0.00035,-0.0018,0.0,0.0,-0.0,-1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.2857,92.2479,-222.6937,11.9598,-234.6535,23.625,23.625,0.0,-7.3559,-7.3559,0.0,7.779,9.798,-2.019,-0.7666,0.0,0.0,0.0,0.0,0.0
6,6,-83.1216,20.0,1.38916,1.57595,1.30424,-11.43076,-8.7654,-11.43076,-8.7654,-1.4536,-1.86964,60.0,-2.39081,-3.57198,1.49231,1.49834,-2.45573,-2.9644,0.03871,-0.37129,-0.88379,-0.9786,2.4394,2.45388,2.44665,2.58987,2.74731,0.0005,0.00066,0.00058,0.0,0.0,0.00022,0.0003,0.0,0.0,-1e-05,-1e-05,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,99.0498,98.6509,-296.1556,15.4018,-311.5574,29.8321,29.8321,0.0,-9.6972,-9.6972,0.0,8.0183,10.1115,-2.0931,-1.4369,0.0,0.0,0.0,0.0,0.0
6,8,-100.2367,20.0,1.42532,1.51812,1.38106,-5.70079,-14.14928,-5.70079,-14.14928,1.26795,1.81315,60.0,-2.4005,-3.48714,1.62365,1.41153,-2.39367,-2.7949,2.8916,3.22469,-0.66973,-0.94276,2.65796,2.46805,2.57828,2.59585,2.89217,0.00055,0.00028,0.00044,0.0,0.0,0.00039,0.00013,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,125.4807,97.355,-344.8491,17.1608,-362.0099,32.0437,32.0437,0.0,-6.3741,-6.3741,0.0,7.9268,10.0047,-2.0779,-0.7435,0.0,0.0,0.0,0.0,0.0
