neutron_number,proton_number,energy,converged,accuracy,chemical-pot_n,chemical-pot_p,Fermi-level_n,Fermi-level_p,pairing-gap_n,pairing-gap_p,pairing-cutoff,pairing-energy_n,pairing-energy_p,pairing-energy_t,effective-strength-G_n,effective-strength-G_p,LN-chemical-pot_n,LN-chemical-pot_p,LN-energy_n,LN-energy_p,LN-energy_t,rms-radius_n,rms-radius_p,rms-radius_t,charge-radius,nuclear-radius,LN-rms-radius_n,LN-rms-radius_p,LN-rms-radius_t,LN-charge-radius,LN-nuclear-radius,beta2-deformation_n,beta2-deformation_p,beta2-deformation_t,LN-beta2-deformation_n,LN-beta2-deformation_p,LN-beta2-deformation_t,dipole-moment_n,dipole-moment_p,dipole-moment_t,quadrupole-moment_n,quadrupole-moment_p,quadrupole-moment_t,LN-quadrupole-moment_n,LN-quadrupole-moment_p,LN-quadrupole-moment_t,octupole-moment_n,octupole-moment_p,octupole-moment_t,hexadecapole-moment_n,hexadecapole-moment_p,hexadecapole-moment_t,LN-hexadecapole-moment_n,LN-hexadecapole-moment_p,LN-hexadecapole-moment_t,q5-moment_n,q5-moment_p,q5-moment_t,q6-moment_n,q6-moment_p,q6-moment_t,q7-moment_n,q7-moment_p,q7-moment_t,q8-moment_n,q8-moment_p,q8-moment_t,kinetic-energy_n,kinetic-energy_p,kinetic-energy_t,volume-energy,rho-tau-energy,rho-rho-energy,surface-energy,rho-Delta-rho-energy,(Nabla-rho)^2-energy,spin-orbit-energy,rho-Nabla-J-energy,Nabla-rho-J-energy,coulomb-energy,direct-coulomb,exchange-coulomb,pairing-coulomb,tensor-energy,direct-hartree,extra-energy,external-field-energy,entropy_n,entropy_p,entropy_t
2,2,-29.023948999999998,True,5.0913e-06,-11.234891000000001,-11.011237,-11.234891000000001,-11.011237,2.821765,3.918789,60.0,-4.74983,-7.7966960000000025,-12.546525,-1.676346,-1.969669,2.078451,2.102991,-3.5083059999999997,-4.243596,-7.751902,2.001572,1.992341,1.996962,2.15762,1.904881,1.9225259999999997,1.907644,1.9151,2.0796650000000003,1.904881,-0.000301,-0.000143,-0.000223,-0.000182,-0.000165,-0.000173,0.0,0.0,0.0,-2.9999999999999997e-05,-1.4000000000000001e-05,-4.5e-05,-1.7e-05,-1.4999999999999999e-05,-3.2e-05,0.0,0.0,0.0,-1e-06,-1e-06,-2e-06,-0.0,-0.0,-1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.075872,29.433054,55.508927,-76.586221,-1.963568,-74.622653,13.604197000000001,13.604197000000001,0.0,-2.0563569999999998,-2.0563569999999998,0.0,0.803933,1.407451,-0.603518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,-34.15895,True,9.4811e-06,-3.8605120000000004,-19.311458,-3.8605120000000004,-19.311458,1.8642889999999999,2.897824,60.0,-3.77681,-4.645616,-8.422426,-0.92024,-1.807593,0.9732700000000001,2.358216,-2.3801900000000002,-3.7124269999999995,-6.092617,2.465033,1.9899650000000002,2.317523,2.128323,2.180545,2.430793,1.9182709999999998,2.27283,2.0614470000000003,2.180545,-0.006852,-0.000786,-0.005361,-0.007295999999999999,-0.000666,-0.005722,0.0,0.0,0.0,-0.002101,-7.900000000000001e-05,-0.00218,-0.002176,-6.2e-05,-0.0022370000000000003,0.0,0.0,0.0,-1e-06,0.0,-1e-06,-1e-06,-0.0,-1e-06,0.0,0.0,0.0,1e-06,-0.0,1e-06,0.0,0.0,0.0,1e-06,0.0,1e-06,49.498763000000004,28.146764,77.645527,-111.79678200000001,-3.330121,-108.46666100000002,17.395301,17.395301,0.0,-3.6872309999999997,-3.6872309999999997,0.0,0.7992779999999999,1.400496,-0.601218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2,-34.804721,True,8.983400000000001e-06,-1.250148,-24.225188,-1.250148,-24.225188,1.374095,2.424995,60.0,-3.033025,-3.585812,-6.618836999999999,-0.622526,-1.639963,0.9219809999999999,2.428089,-2.269873,-3.3766800000000003,-5.646553,2.874014,2.043313,2.690492,2.151471,2.4,2.826636,1.976519,2.639898,2.08814,2.4,0.007001,0.000468,0.006059,0.005629,0.000386,0.004894,0.0,0.0,0.0,0.004377000000000001,4.9e-05,0.004427,0.003404,3.8e-05,0.003442,0.0,0.0,0.0,8.6e-05,0.0,8.6e-05,8.9e-05,0.0,8.9e-05,0.0,0.0,0.0,-1.2e-05,0.0,-1.2e-05,0.0,0.0,0.0,-1.6e-05,0.0,-1.6e-05,68.727395,26.635946999999998,95.363342,-133.19386200000002,-4.968152,-128.22571000000002,18.133964000000002,18.133964000000002,0.0,-3.619832,-3.619832,0.0,0.777057,1.3617350000000001,-0.5846779999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2,-32.729112,True,4.9817e-06,0.486745,-26.777503999999997,0.486745,-26.777503999999997,0.970093,2.1556919999999997,60.0,-2.161726,-3.0741169999999998,-5.235842,-0.435337,-1.511657,0.916286,2.429578,-1.979552,-3.159811,-5.139364,3.2890349999999997,2.101857,3.088327,2.180689,2.585322,3.224606,2.036248,3.024521,2.117524,2.585322,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,83.264222,25.293286,108.55750800000001,-146.815809,-6.166499,-140.64931,17.750224,17.750224,0.0,-2.60135,-2.60135,0.0,0.755521,1.323823,-0.568303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,-32.217249,True,8.3167e-06,-19.525154999999998,-2.485976,-19.525154999999998,-2.485976,2.099177,2.634168,60.0,-2.861239,-6.480361,-9.3416,-1.540083,-1.070749,2.352985,1.1398780000000002,-3.045443,-3.188647,-6.23409,1.9987439999999999,2.480931,2.3313099999999998,2.626589,2.180545,1.93645,2.434646,2.2807049999999998,2.5829150000000003,2.180545,-0.000816,-0.007478,-0.0058460000000000005,-0.000651,-0.007254999999999998,-0.005668,0.0,0.0,0.0,-8.2e-05,-0.002323,-0.002405,-6.2e-05,-0.00217,-0.002232,0.0,0.0,0.0,-0.0,1e-06,1e-06,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,2e-06,2e-06,0.0,0.0,0.0,0.0,1e-06,1e-06,25.803703,51.236033,77.039736,-110.801629,-3.3703480000000003,-107.43128100000001,16.994641,16.994641,0.0,-3.2266630000000003,-3.2266630000000003,0.0,3.352356,4.588971,-1.236615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,-55.52049,True,4.2613e-06,-11.362324000000001,-9.758351,-11.362324000000001,-9.758351,1.7402990000000005,2.409208,60.0,-3.1456049999999998,-5.162925,-8.308530000000001,-0.962816,-1.124224,0.9818319999999999,1.207426,-2.193559,-2.961019,-5.154578,2.275873,2.279297,2.277586,2.425097,2.4,2.259051,2.2555709999999998,2.2573119999999998,2.4028110000000003,2.4,0.00011399999999999999,0.000121,0.000118,0.000145,0.000135,0.00014,0.0,0.0,0.0,2.9999999999999997e-05,3.2e-05,6.2e-05,3.7e-05,3.5e-05,7.2e-05,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,1e-06,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,58.306464,59.697835,118.004299,-181.759144,-5.2662510000000005,-176.49289299999995,26.533482,26.533482,0.0,-8.406528999999999,-8.406528999999999,0.0,3.5705089999999995,4.895391,-1.324882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,4,-69.745005,True,8.6552e-06,-6.367044,-15.962898000000001,-6.367044,-15.962898000000001,1.435808,2.12878,60.0,-2.895031,-4.289161,-7.1841919999999995,-0.712098,-1.056548,1.242469,1.119895,-2.3958470000000003,-2.612016,-5.0078629999999995,2.536587,2.270412,2.4336130000000002,2.4047080000000003,2.585322,2.513236,2.2522599999999997,2.412236,2.387578,2.585322,0.000704,0.000267,0.000552,0.000611,0.000306,0.000505,0.0,0.0,0.0,0.000343,6.9e-05,0.000412,0.000292,7.8e-05,0.000371,0.0,0.0,0.0,4e-06,-0.0,4e-06,4e-06,-0.0,4e-06,0.0,0.0,0.0,-1e-06,0.0,-1e-06,0.0,0.0,0.0,-1e-06,0.0,-1e-06,85.85759200000003,60.71779300000001,146.575385,-228.60361600000002,-7.4710449999999975,-221.13257099999998,30.702890999999997,30.702890999999997,0.0,-9.784028999999999,-9.784028999999999,0.0,3.556418,4.879905,-1.323487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,4,-74.992227,True,5.9501e-06,-2.625265,-20.289151999999998,-2.625265,-20.289151999999998,1.2154479999999999,1.9229209999999999,60.0,-2.772151,-3.7761199999999997,-6.54827,-0.5329119999999999,-0.9792129999999999,1.024006,1.017858,-2.034323,-2.334132,-4.368455,2.824789,2.3212919999999997,2.667537,2.4409419999999997,2.747314,2.7993330000000003,2.306393,2.6452459999999998,2.426777,2.747314,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.167831,58.808829,166.976661,-258.42764500000004,-9.448091,-248.97955499999998,31.149159,31.149159,0.0,-7.238814,-7.238814,0.0,3.4651379999999996,4.757057,-1.291919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,4,-74.08083,True,7.9208e-06,-0.588658,-23.367409,-0.588658,-23.367409,1.14239,1.806609,60.0,-3.1913099999999996,-3.533718,-6.725028,-0.40894,-0.9236270000000001,0.403506,0.966648,-1.3220379999999998,-2.201526,-3.523564,3.129968,2.361989,2.93115,2.467943,2.892171,3.1290720000000003,2.348223,2.927304,2.454771,2.892171,-0.0,-1e-06,-1e-06,-1e-06,-1e-06,-1e-06,0.0,0.0,0.0,-1e-06,-0.0,-1e-06,-1e-06,-0.0,-1e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,133.062881,57.384535,190.447416,-281.501403,-11.931303,-269.5701,31.176785,31.176785,0.0,-7.3566,-7.3566,0.0,3.4015660000000003,4.6703589999999995,-1.268793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,4,-72.34218800000002,True,3.1582e-06,-0.03445,-25.957847,-0.03445,-25.957847,1.140219,1.6747880000000002,60.0,-3.805282,-3.1735599999999997,-6.978842,-0.34165700000000004,-0.8838389999999999,0.33186,0.9081110000000001,-1.4213040000000001,-2.042288,-3.463592,3.381607,2.390729,3.163122,2.483804,3.0238110000000002,3.3921080000000003,2.3780080000000003,3.1691529999999997,2.471563,3.0238110000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e-06,0.0,1e-06,0.0,0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,159.20546000000004,56.284746,215.490206,-303.191258,-14.779262,-288.411996,31.47369,31.47369,0.0,-9.032408,-9.032408,0.0,3.3600160000000003,4.613183,-1.253168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
