proton_number,neutron_number,energy,converged,accuracy,chemical-pot_n,chemical-pot_p,Fermi-level_n,Fermi-level_p,pairing-gap_n,pairing-gap_p,pairing-cutoff,pairing-energy_n,pairing-energy_p,pairing-energy_t,effective-strength-G_n,effective-strength-G_p,LN-chemical-pot_n,LN-chemical-pot_p,LN-energy_n,LN-energy_p,LN-energy_t,rms-radius_n,rms-radius_p,rms-radius_t,charge-radius,nuclear-radius,LN-rms-radius_n,LN-rms-radius_p,LN-rms-radius_t,LN-charge-radius,LN-nuclear-radius,beta2-deformation_n,beta2-deformation_p,beta2-deformation_t,LN-beta2-deformation_n,LN-beta2-deformation_p,LN-beta2-deformation_t,dipole-moment_n,dipole-moment_p,dipole-moment_t,quadrupole-moment_n,quadrupole-moment_p,quadrupole-moment_t,LN-quadrupole-moment_n,LN-quadrupole-moment_p,LN-quadrupole-moment_t,octupole-moment_n,octupole-moment_p,octupole-moment_t,hexadecapole-moment_n,hexadecapole-moment_p,hexadecapole-moment_t,LN-hexadecapole-moment_n,LN-hexadecapole-moment_p,LN-hexadecapole-moment_t,q5-moment_n,q5-moment_p,q5-moment_t,q6-moment_n,q6-moment_p,q6-moment_t,q7-moment_n,q7-moment_p,q7-moment_t,q8-moment_n,q8-moment_p,q8-moment_t,kinetic-energy_n,kinetic-energy_p,kinetic-energy_t,volume-energy,rho-tau-energy,rho-rho-energy,surface-energy,rho-Delta-rho-energy,(Nabla-rho)^2-energy,spin-orbit-energy,rho-Nabla-J-energy,Nabla-rho-J-energy,coulomb-energy,direct-coulomb,exchange-coulomb,pairing-coulomb,tensor-energy,direct-hartree,extra-energy,external-field-energy,entropy_n,entropy_p,entropy_t
2,2,-18.740752,True,9.0934e-06,-7.608098,-6.977242,-7.608098,-6.977242,1.678855,2.066012,60.0,-1.7911700000000002,-2.453859,-4.245029,-1.573583,-1.739467,2.864966,2.853068,-3.00982,-3.429233,-6.4390540000000005,2.181251,2.185986,2.18362,2.337613,1.904881,2.080353,2.074989,2.077673,2.234162,1.904881,0.004173,0.004259000000000001,0.004215999999999999,0.001945,0.002026,0.001985,0.0,0.0,0.0,0.0005009999999999999,0.000513,0.001014,0.000212,0.00022,0.000432,0.0,0.0,0.0,3e-06,3e-06,6e-06,-1e-06,-1e-06,-2e-06,0.0,0.0,0.0,-1e-06,-1e-06,-1e-06,0.0,0.0,0.0,0.0,0.0,0.0,24.785181,25.628018,50.413199,-67.47383,-0.076997,-67.396834,8.942859,8.942859,0.0,-0.690674,-0.690674,0.0,0.751779,1.312384,-0.560605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,4,-23.250795,True,6.762300000000001e-06,-1.368201,-16.262696,-1.368201,-16.262696,1.293324,2.113089,60.0,-2.0421720000000003,-2.543137,-4.585309,-0.8190729999999999,-1.7557630000000002,0.7359,2.992905,-1.662454,-3.3933410000000004,-5.055795,2.695587,2.071536,2.504905,2.204781,2.180545,2.6604080000000003,2.001049,2.460335,2.138691,2.180545,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.031914,27.600093,77.632007,-102.056268,-0.447798,-101.60847,12.688042,12.688042,0.0,-2.649359,-2.649359,0.0,0.775886,1.357225,-0.581339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6,-24.62796,True,6.6237e-06,0.094679,-21.88277,0.094679,-21.88277,0.983699,1.9393080000000005,60.0,-1.7010599999999998,-2.294794,-3.995854,-0.568859,-1.6388900000000002,0.795809,2.933113,-1.704704,-3.168797,-4.873501,3.103073,2.094213,2.884134,2.19987,2.4,3.044887,2.031587,2.825834,2.140337,2.4,-0.013816,-0.001024,-0.01213,-0.012289,-0.000833,-0.010808,0.0,0.0,0.0,-0.01007,-0.000113,-0.010183,-0.008624,-8.7e-05,-0.008711,0.0,0.0,0.0,0.000362,-0.0,0.000362,0.000322,0.0,0.000322,0.0,0.0,0.0,-0.000128,-0.0,-0.000128,0.0,0.0,0.0,5.3e-05,0.0,5.3e-05,68.647531,26.635338,95.282869,-123.140451,-1.087205,-122.053247,14.432509,14.432509,0.0,-3.096368,-3.096368,0.0,0.762835,1.335391,-0.572555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,8,-23.339345,True,9.0094e-06,1.40193,-24.799739,1.40193,-24.799739,0.6262,1.840298,60.0,-1.005911,-2.193978,-3.199889,-0.389823,-1.543634,0.8396450000000001,2.860045,-1.497154,-3.047689,-4.544843,3.523129,2.132795,3.2923720000000003,2.2105240000000004,2.585322,3.438038,2.0705150000000003,3.211463,2.150496,2.585322,-0.030792,-0.000918,-0.028285,-0.018415,-0.0005740000000000001,-0.016932,0.0,0.0,0.0,-0.038574,-0.000105,-0.03868,-0.021968,-6.2e-05,-0.02203,0.0,0.0,0.0,0.000708,0.0,0.000708,0.000819,0.0,0.000819,0.0,0.0,0.0,-0.000185,-0.0,-0.000185,0.0,0.0,0.0,0.000151,0.0,0.000151,81.72598599999998,25.597992,107.323978,-136.413523,-1.604323,-134.809201,14.988332000000002,14.988332000000002,0.0,-2.241738,-2.241738,0.0,0.7483380000000001,1.310078,-0.56174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2,-21.049078,True,6.5284e-06,-16.609185999999998,0.06917100000000001,-16.609185999999998,0.06917100000000001,1.676909,1.491692,60.0,-1.7787560000000002,-2.511334,-4.290089,-1.580894,-0.886042,3.006584,0.810153,-2.934143,-1.91342,-4.847563,2.07652,2.738683,2.537236,2.871295,2.180545,2.012776,2.693132,2.487113,2.827881,2.180545,0.002443,0.013333,0.010901,0.001713,0.015915000000000002,0.012815,0.0,0.0,0.0,0.000266,0.005046,0.005312,0.000175,0.005825,0.006,0.0,0.0,0.0,-0.0,9.4e-05,9.4e-05,-0.0,8.9e-05,8.9e-05,0.0,0.0,0.0,0.0,-1e-05,-1e-05,0.0,0.0,0.0,-0.0,-1.1e-05,-1.2e-05,26.438296,49.17980900000001,75.618105,-100.613183,-0.432742,-100.180442,12.345999999999998,12.345999999999998,0.0,-2.376383,-2.376383,0.0,3.114037,4.258469,-1.144432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,4,-43.447099,True,5.3670000000000005e-06,-9.388332,-7.714083,-9.388332,-7.714083,1.555916,1.861588,60.0,-2.447319,-3.178788,-5.626108,-0.989195,-1.090199,0.850247,0.987693,-1.84755,-2.228592,-4.076142,2.3427580000000003,2.351816,2.347291,2.493379,2.4,2.329586,2.334549,2.332069,2.477099,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,62.41810699999999,62.424933,124.84304,-175.174685,-0.357528,-174.817156,20.174813,20.174813,0.0,-7.080667,-7.080667,0.0,3.492649,4.78505,-1.2924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,6,-58.707328,True,7.4289e-06,-5.176151,-14.737791,-5.176151,-14.737791,1.216986,1.842463,60.0,-1.997619,-3.186762,-5.184381,-0.74141,-1.065241,1.211363,0.952112,-2.103135,-2.132066,-4.235201999999999,2.604444,2.300303,2.487254,2.43295,2.585322,2.577815,2.287257,2.465704,2.420618,2.585322,-0.003652,-0.000789,-0.002672,-0.00318,-0.001141,-0.002478,0.0,0.0,0.0,-0.001875,-0.000211,-0.002086,-0.001599,-0.000301,-0.001901,0.0,0.0,0.0,-1e-05,-2e-06,-1.2e-05,-1.1e-05,-1e-06,-1.3e-05,0.0,0.0,0.0,2e-06,0.0,2e-06,0.0,0.0,0.0,2e-06,0.0,2e-06,90.232373,64.45562,154.687993,-223.496663,-0.834415,-222.662248,24.573886,24.573886,0.0,-8.575119,-8.575119,0.0,3.522157,4.831332,-1.309175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,8,-64.915754,True,6.7644000000000025e-06,-1.329864,-19.402424,-1.329864,-19.402424,0.8892950000000001,1.7906689999999998,60.0,-1.5120559999999998,-3.203747,-4.715803,-0.523027,-1.000858,1.196059,0.901858,-1.851683,-2.04088,-3.892564,2.944633,2.337737,2.757218,2.456586,2.747314,2.894631,2.3261540000000003,2.71838,2.445566,2.747314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.950965,62.407456,171.358421,-251.164361,-1.513998,-249.650363,25.709727,25.709727,0.0,-5.659617,-5.659617,0.0,3.448442,4.732985,-1.284543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,10,-63.55299100000001,True,6.4235e-06,0.714357,-22.009811,0.714357,-22.009811,0.814658,1.678381,60.0,-1.80224,-2.952281,-4.754521,-0.368246,-0.954165,0.395032,0.84264,-1.058159,-1.897883,-2.956042,3.3376910000000004,2.370964,3.092476,2.476534,2.892171,3.378077,2.359859,3.121238,2.465904,2.892171,-0.0,-0.0,-0.0,-0.0,-1e-06,-0.0,0.0,0.0,0.0,-0.0,-0.0,-1e-06,-1e-06,-0.0,-1e-06,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,129.29671299999998,60.497128,189.793842,-269.525627,-2.340838,-267.184788,26.160789,26.160789,0.0,-5.670675,-5.670675,0.0,3.3992440000000004,4.665177,-1.265933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,12,-61.664513,True,7.3652e-06,0.997869,-24.468976,0.997869,-24.468976,0.8672610000000001,1.6453799999999998,60.0,-2.431625,-2.962672,-5.394298,-0.309317,-0.913795,0.315882,0.8245540000000001,-1.137429,-1.867284,-3.004713,3.597057,2.400399,3.3383519999999995,2.493113,3.023811,3.618606,2.389438,3.353816,2.482562,3.023811,-0.0,-1e-06,-0.0,-1e-06,-1e-06,-1e-06,0.0,0.0,0.0,-1e-06,-0.0,-1e-06,-1e-06,-0.0,-2e-06,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,153.712444,59.038329,212.750773,-288.902347,-3.455986,-285.446361,26.981612,26.981612,0.0,-7.451567999999999,-7.451567999999999,0.0,3.356028,4.605832,-1.249804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
